MSD	Animate	Aspect	CATEGORY	Case	Case2	Coord_Type	Definiteness	Degree	Form	Formation	Gender	Number	Person	Sub_Type	Syntactic_Type	Tense	Type	VForm	Voice
Afc			Adjective	-			-	comparative			-	-					qualificative		
Afc---f			Adjective	-			full-art	comparative			-	-					qualificative		
Afp			Adjective	-			-	positive			-	-					qualificative		
Afp---f			Adjective	-			full-art	positive			-	-					qualificative		
Afpfsa			Adjective	accusative			-	positive			feminine	singular					qualificative		
Afpfsaf			Adjective	accusative			full-art	positive			feminine	singular					qualificative		
Afpfsd			Adjective	dative			-	positive			feminine	singular					qualificative		
Afpfsdf			Adjective	dative			full-art	positive			feminine	singular					qualificative		
Afpfs-f			Adjective	-			full-art	positive			feminine	singular					qualificative		
Afpfsg			Adjective	genitive			-	positive			feminine	singular					qualificative		
Afpfsgf			Adjective	genitive			full-art	positive			feminine	singular					qualificative		
Afpfsi			Adjective	instrumental			-	positive			feminine	singular					qualificative		
Afpfsif			Adjective	instrumental			full-art	positive			feminine	singular					qualificative		
Afpfsl			Adjective	locative			-	positive			feminine	singular					qualificative		
Afpfslf			Adjective	locative			full-art	positive			feminine	singular					qualificative		
Afpfsn			Adjective	nominative			-	positive			feminine	singular					qualificative		
Afpfsnf			Adjective	nominative			full-art	positive			feminine	singular					qualificative		
Afpfs-s			Adjective	-			short-art	positive			feminine	singular					qualificative		
Afpmsa			Adjective	accusative			-	positive			masculine	singular					qualificative		
Afpmsaf			Adjective	accusative			full-art	positive			masculine	singular					qualificative		
Afpmsd			Adjective	dative			-	positive			masculine	singular					qualificative		
Afpmsdf			Adjective	dative			full-art	positive			masculine	singular					qualificative		
Afpmsg			Adjective	genitive			-	positive			masculine	singular					qualificative		
Afpmsgf			Adjective	genitive			full-art	positive			masculine	singular					qualificative		
Afpmsi			Adjective	instrumental			-	positive			masculine	singular					qualificative		
Afpmsif			Adjective	instrumental			full-art	positive			masculine	singular					qualificative		
Afpmsl			Adjective	locative			-	positive			masculine	singular					qualificative		
Afpmslf			Adjective	locative			full-art	positive			masculine	singular					qualificative		
Afpmsn			Adjective	nominative			-	positive			masculine	singular					qualificative		
Afpmsnf			Adjective	nominative			full-art	positive			masculine	singular					qualificative		
Afpms-s			Adjective	-			short-art	positive			masculine	singular					qualificative		
Afpnpif			Adjective	instrumental			full-art	positive			neuter	plural					qualificative		
Afpnsa			Adjective	accusative			-	positive			neuter	singular					qualificative		
Afpnsaf			Adjective	accusative			full-art	positive			neuter	singular					qualificative		
Afpnsd			Adjective	dative			-	positive			neuter	singular					qualificative		
Afpnsdf			Adjective	dative			full-art	positive			neuter	singular					qualificative		
Afpnsg			Adjective	genitive			-	positive			neuter	singular					qualificative		
Afpnsgf			Adjective	genitive			full-art	positive			neuter	singular					qualificative		
Afpnsi			Adjective	instrumental			-	positive			neuter	singular					qualificative		
Afpnsif			Adjective	instrumental			full-art	positive			neuter	singular					qualificative		
Afpnsl			Adjective	locative			-	positive			neuter	singular					qualificative		
Afpnslf			Adjective	locative			full-art	positive			neuter	singular					qualificative		
Afpnsn			Adjective	nominative			-	positive			neuter	singular					qualificative		
Afpnsnf			Adjective	nominative			full-art	positive			neuter	singular					qualificative		
Afpns-s			Adjective	-			short-art	positive			neuter	singular					qualificative		
Afp-pa			Adjective	accusative			-	positive			-	plural					qualificative		
Afp-paf			Adjective	accusative			full-art	positive			-	plural					qualificative		
Afp-pd			Adjective	dative			-	positive			-	plural					qualificative		
Afp-pdf			Adjective	dative			full-art	positive			-	plural					qualificative		
Afp-pg			Adjective	genitive			-	positive			-	plural					qualificative		
Afp-pgf			Adjective	genitive			full-art	positive			-	plural					qualificative		
Afp-pi			Adjective	instrumental			-	positive			-	plural					qualificative		
Afp-pif			Adjective	instrumental			full-art	positive			-	plural					qualificative		
Afp-pl			Adjective	locative			-	positive			-	plural					qualificative		
Afp-plf			Adjective	locative			full-art	positive			-	plural					qualificative		
Afp-pn			Adjective	nominative			-	positive			-	plural					qualificative		
Afp-pnf			Adjective	nominative			full-art	positive			-	plural					qualificative		
Afp-p-s			Adjective	-			short-art	positive			-	plural					qualificative		
Afsfsn			Adjective	nominative			-	superlative			feminine	singular					qualificative		
C			Conjunction			-				-				-			-		
I			Interjection							-									
Mc--a	-		Numeral	accusative					-		-	-					cardinal		
Mc--d	-		Numeral	dative					-		-	-					cardinal		
Mcf-a	-		Numeral	accusative					-		feminine	-					cardinal		
Mcf-d	-		Numeral	dative					-		feminine	-					cardinal		
